"Mach","p","tp","x","Points:0","Points:1","Points:2"
0.24119,0.9601,0.99977,-1.2462,-8.1,0,0
0.24181,0.95992,0.99979,-1.2349,-8.0269,0,0
0.24243,0.95974,0.99981,-1.2237,-7.9538,0,0
0.24305,0.95956,0.99983,-1.2124,-7.8807,0,0
0.24374,0.95925,0.99974,-1.2012,-7.8076,0,0
0.24447,0.95886,0.99957,-1.1899,-7.7345,0,0
0.2452,0.95846,0.99941,-1.1787,-7.6614,0,0
0.24601,0.95806,0.99926,-1.1674,-7.5883,0,0
0.2472,0.95762,0.99922,-1.1562,-7.5152,0,0
0.2484,0.95719,0.99918,-1.1449,-7.4421,0,0
0.2496,0.95675,0.99913,-1.1337,-7.369,0,0
0.25144,0.95612,0.99911,-1.1224,-7.2959,0,0
0.25351,0.95541,0.9991,-1.1112,-7.2228,0,0
0.25558,0.95471,0.99908,-1.1,-7.1497,0,0
0.25783,0.9539,0.99904,-1.0887,-7.0766,0,0
0.26053,0.95285,0.9989,-1.0775,-7.0035,0,0
0.26323,0.95179,0.99877,-1.0662,-6.9304,0,0
0.26592,0.95074,0.99864,-1.055,-6.8573,0,0
0.26898,0.94957,0.99855,-1.0437,-6.7842,0,0
0.2721,0.94838,0.99847,-1.0325,-6.7111,0,0
0.27522,0.94719,0.99838,-1.0212,-6.638,0,0
0.27849,0.94595,0.99832,-1.01,-6.5649,0,0
0.28201,0.94463,0.9983,-0.99874,-6.4918,0,0
0.28553,0.94331,0.99827,-0.98749,-6.4187,0,0
0.28905,0.94199,0.99824,-0.97625,-6.3456,0,0
0.29363,0.94045,0.99845,-0.965,-6.2725,0,0
0.29842,0.93877,0.9986,-0.95375,-6.1994,0,0
0.30377,0.93648,0.99839,-0.94251,-6.1263,0,0
0.30892,0.93428,0.9982,-0.93126,-6.0532,0,0
0.31381,0.93217,0.99803,-0.92002,-5.9801,0,0
0.31919,0.93003,0.99808,-0.90877,-5.907,0,0
0.32481,0.92788,0.99824,-0.89752,-5.8339,0,0
0.33086,0.92527,0.99815,-0.88628,-5.7608,0,0
0.33698,0.92261,0.99806,-0.87503,-5.6877,0,0
0.34327,0.9199,0.99805,-0.86378,-5.6146,0,0
0.34967,0.91711,0.99804,-0.85254,-5.5415,0,0
0.35621,0.91421,0.99803,-0.84129,-5.4684,0,0
0.3629,0.91124,0.99807,-0.83005,-5.3953,0,0
0.36966,0.90823,0.99812,-0.8188,-5.3222,0,0
0.37698,0.90488,0.99814,-0.80755,-5.2491,0,0
0.38471,0.9012,0.99808,-0.79631,-5.176,0,0
0.39291,0.89739,0.99818,-0.78506,-5.1029,0,0
0.40091,0.89349,0.99813,-0.77382,-5.0298,0,0
0.40896,0.88956,0.99814,-0.76257,-4.9567,0,0
0.41769,0.88528,0.9982,-0.75132,-4.8836,0,0
0.42709,0.88056,0.99822,-0.74008,-4.8105,0,0
0.43622,0.87581,0.99813,-0.72883,-4.7374,0,0
0.44562,0.87099,0.9982,-0.71758,-4.6643,0,0
0.45547,0.86596,0.99838,-0.70634,-4.5912,0,0
0.46526,0.86054,0.99816,-0.69509,-4.5181,0,0
0.47537,0.85523,0.99833,-0.68385,-4.445,0,0
0.48569,0.84954,0.9983,-0.6726,-4.3719,0,0
0.49615,0.84376,0.99833,-0.66135,-4.2988,0,0
0.5069,0.83773,0.99834,-0.65011,-4.2257,0,0
0.5179,0.83147,0.99833,-0.63886,-4.1526,0,0
0.52909,0.82502,0.99832,-0.62762,-4.0795,0,0
0.54041,0.8184,0.99829,-0.61637,-4.0064,0,0
0.55165,0.81174,0.99822,-0.60512,-3.9333,0,0
0.56297,0.80514,0.99837,-0.59388,-3.8602,0,0
0.57528,0.7977,0.99831,-0.58263,-3.7871,0,0
0.58775,0.7903,0.99849,-0.57138,-3.714,0,0
0.60019,0.78271,0.9985,-0.56014,-3.6409,0,0
0.61282,0.77489,0.99845,-0.54889,-3.5678,0,0
0.62578,0.76683,0.99843,-0.53765,-3.4947,0,0
0.63871,0.75879,0.99849,-0.5264,-3.4216,0,0
0.65167,0.75069,0.99856,-0.51515,-3.3485,0,0
0.66523,0.74215,0.99862,-0.50391,-3.2754,0,0
0.67853,0.73366,0.9986,-0.49266,-3.2023,0,0
0.69233,0.7249,0.99868,-0.48142,-3.1292,0,0
0.70603,0.7161,0.99868,-0.47017,-3.0561,0,0
0.71979,0.7072,0.99865,-0.45892,-2.983,0,0
0.73375,0.69819,0.99867,-0.44768,-2.9099,0,0
0.748,0.68897,0.9987,-0.43643,-2.8368,0,0
0.76228,0.67972,0.99873,-0.42518,-2.7637,0,0
0.77669,0.67038,0.99877,-0.41394,-2.6906,0,0
0.79116,0.66099,0.9988,-0.40269,-2.6175,0,0
0.80556,0.65163,0.99882,-0.39145,-2.5444,0,0
0.82023,0.64211,0.99886,-0.3802,-2.4713,0,0
0.83498,0.63254,0.99887,-0.36895,-2.3982,0,0
0.84977,0.62297,0.99889,-0.35771,-2.3251,0,0
0.86464,0.61335,0.99889,-0.34646,-2.252,0,0
0.87958,0.60372,0.99889,-0.33522,-2.1789,0,0
0.8946,0.59407,0.99891,-0.32397,-2.1058,0,0
0.9097,0.58442,0.99892,-0.31272,-2.0327,0,0
0.92486,0.57477,0.99894,-0.30148,-1.9596,0,0
0.9401,0.56512,0.99896,-0.29023,-1.8865,0,0
0.95542,0.55549,0.99899,-0.27898,-1.8134,0,0
0.97081,0.54587,0.99902,-0.26774,-1.7403,0,0
0.98628,0.53626,0.99905,-0.25649,-1.6672,0,0
1.0018,0.52667,0.99907,-0.24525,-1.5941,0,0
1.0175,0.5171,0.9991,-0.234,-1.521,0,0
1.0332,0.50756,0.99912,-0.22275,-1.4479,0,0
1.049,0.49804,0.99914,-0.21151,-1.3748,0,0
1.0649,0.48854,0.99916,-0.20026,-1.3017,0,0
1.081,0.47907,0.99919,-0.18902,-1.2286,0,0
1.0972,0.46962,0.99921,-0.17777,-1.1555,0,0
1.1135,0.46019,0.99924,-0.16652,-1.0824,0,0
1.13,0.45078,0.99927,-0.15528,-1.0093,0,0
1.1467,0.44138,0.99931,-0.14403,-0.9362,0,0
1.1636,0.43197,0.99934,-0.13278,-0.8631,0,0
1.1807,0.42256,0.99937,-0.12154,-0.79,0,0
1.1981,0.41313,0.99939,-0.11029,-0.7169,0,0
1.2158,0.40368,0.99941,-0.099046,-0.6438,0,0
1.2338,0.39422,0.99943,-0.0878,-0.5707,0,0
1.2522,0.38473,0.99945,-0.076554,-0.4976,0,0
1.2709,0.3752,0.99947,-0.065308,-0.4245,0,0
1.2901,0.36564,0.9995,-0.054062,-0.3514,0,0
1.3096,0.35606,0.99954,-0.042815,-0.2783,0,0
1.3295,0.34649,0.99957,-0.031569,-0.2052,0,0
1.3498,0.33694,0.99961,-0.020323,-0.1321,0,0
1.3704,0.32745,0.99964,-0.009077,-0.059,0,0
1.3913,0.31802,0.99968,0.0021692,0.0141,0,0
1.4125,0.30868,0.99974,0.013415,0.0872,0,0
1.434,0.2994,0.99978,0.024661,0.1603,0,0
1.4553,0.29047,0.99983,0.035908,0.2334,0,0
1.4769,0.28164,0.99994,0.047154,0.3065,0,0
1.4991,0.27274,0.99991,0.0584,0.3796,0,0
1.5202,0.26452,0.99988,0.069646,0.4527,0,0
1.5425,0.25614,1.0003,0.080892,0.5258,0,0
1.565,0.24792,1.0007,0.092138,0.5989,0,0
1.5861,0.24022,1.0003,0.10338,0.672,0,0
1.6087,0.23232,1.0004,0.11463,0.7451,0,0
1.6303,0.22503,1.0005,0.12588,0.8182,0,0
1.6509,0.21822,1.0005,0.13712,0.8913,0,0
1.6722,0.21143,1.0009,0.14837,0.9644,0,0
1.695,0.20442,1.0014,0.15962,1.0375,0,0
1.7179,0.19749,1.0014,0.17086,1.1106,0,0
1.7393,0.19112,1.0011,0.18211,1.1837,0,0
1.7617,0.18488,1.0019,0.19335,1.2568,0,0
1.7839,0.17866,1.0015,0.2046,1.3299,0,0
1.805,0.17295,1.0014,0.21585,1.403,0,0
1.8275,0.16716,1.0018,0.22709,1.4761,0,0
1.8519,0.16095,1.0013,0.23834,1.5492,0,0
1.8764,0.15496,1.0013,0.24958,1.6223,0,0
1.9024,0.14903,1.0023,0.26083,1.6954,0,0
1.9326,0.14223,1.0023,0.27208,1.7685,0,0
1.9635,0.13555,1.0021,0.28332,1.8416,0,0
1.9906,0.12987,1.0014,0.29457,1.9147,0,0
2.0181,0.12475,1.0038,0.30582,1.9878,0,0
2.0464,0.11968,1.0064,0.31706,2.0609,0,0
2.0648,0.11625,1.0062,0.32831,2.134,0,0
2.0693,0.11467,0.99956,0.33955,2.2071,0,0
2.0727,0.11353,0.99492,0.3508,2.2802,0,0
2.0733,0.11346,0.99512,0.36205,2.3533,0,0
2.0738,0.11339,0.99533,0.37329,2.4264,0,0
2.0743,0.11332,0.99553,0.38454,2.4995,0,0
2.0734,0.11348,0.99549,0.39578,2.5726,0,0
2.0704,0.11397,0.99511,0.40703,2.6457,0,0
2.0633,0.11514,0.99433,0.41828,2.7188,0,0
2.0467,0.118,0.99279,0.42952,2.7919,0,0
2.0179,0.12327,0.99166,0.44077,2.865,0,0
1.9663,0.13346,0.99092,0.45202,2.9381,0,0
1.9092,0.1458,0.99081,0.46326,3.0112,0,0
1.8535,0.15871,0.98983,0.47451,3.0843,0,0
1.8042,0.17102,0.98894,0.48575,3.1574,0,0
1.7687,0.18069,0.98973,0.497,3.2305,0,0
1.7451,0.18701,0.98821,0.50825,3.3036,0,0
1.7355,0.1902,0.99054,0.51949,3.3767,0,0
1.7319,0.19153,0.99211,0.53074,3.4498,0,0
1.7309,0.19209,0.99354,0.54198,3.5229,0,0
1.7305,0.19224,0.99372,0.55323,3.596,0,0
1.73,0.1923,0.99329,0.56448,3.6691,0,0
1.7329,0.1915,0.99349,0.57572,3.7422,0,0
1.737,0.19041,0.9939,0.58697,3.8153,0,0
1.7423,0.18898,0.99447,0.59822,3.8884,0,0
1.7482,0.18743,0.99508,0.60946,3.9615,0,0
1.757,0.18499,0.9954,0.62071,4.0346,0,0
1.7668,0.1823,0.99563,0.63195,4.1077,0,0
1.7783,0.17901,0.995,0.6432,4.1808,0,0
1.7905,0.17567,0.99483,0.65445,4.2539,0,0
1.8045,0.172,0.99504,0.66569,4.327,0,0
1.8201,0.16802,0.99558,0.67694,4.4001,0,0
1.8362,0.16385,0.99509,0.68818,4.4732,0,0
1.8516,0.16002,0.99519,0.69943,4.5463,0,0
1.8673,0.15617,0.99483,0.71068,4.6194,0,0
1.8832,0.15235,0.99471,0.72192,4.6925,0,0
1.9004,0.14839,0.99492,0.73317,4.7656,0,0
1.9192,0.14419,0.99517,0.74442,4.8387,0,0
1.9394,0.13976,0.99535,0.75566,4.9118,0,0
1.961,0.13518,0.99549,0.76691,4.9849,0,0
1.9839,0.13048,0.99555,0.77815,5.058,0,0
2.0082,0.12569,0.99597,0.7894,5.1311,0,0
2.0346,0.12072,0.99672,0.80065,5.2042,0,0
2.061,0.11588,0.99694,0.81189,5.2773,0,0
2.0851,0.11138,0.99505,0.82314,5.3504,0,0
2.1087,0.10745,0.9959,0.83438,5.4235,0,0
2.1328,0.10333,0.99454,0.84563,5.4966,0,0
2.1562,0.09968,0.99518,0.85688,5.5697,0,0
2.1818,0.0958,0.99553,0.86812,5.6428,0,0
2.2088,0.091877,0.99596,0.87937,5.7159,0,0
2.2363,0.088058,0.99647,0.89062,5.789,0,0
2.2625,0.084435,0.99553,0.90186,5.8621,0,0
2.288,0.081178,0.99604,0.91311,5.9352,0,0
2.3139,0.077995,0.99656,0.92435,6.0083,0,0
2.3391,0.075052,0.99698,0.9356,6.0814,0,0
2.364,0.072196,0.99743,0.94685,6.1545,0,0
2.3894,0.069491,0.99854,0.95809,6.2276,0,0
2.4149,0.066848,0.99993,0.96934,6.3007,0,0
2.4409,0.064298,1.0013,0.98058,6.3738,0,0
2.4671,0.061791,1.0026,0.99183,6.4469,0,0
2.4902,0.059576,1.0019,1.0031,6.52,0,0
2.5115,0.057523,1.0001,1.0143,6.5931,0,0
2.5315,0.055733,0.99967,1.0256,6.6662,0,0
2.5508,0.054113,1.0001,1.0368,6.7393,0,0
2.5703,0.052533,1.0008,1.0481,6.8124,0,0
2.5902,0.050985,1.0017,1.0593,6.8855,0,0
2.6099,0.049504,1.0027,1.0706,6.9586,0,0
2.6295,0.048086,1.004,1.0818,7.0317,0,0
2.6493,0.046678,1.0048,1.093,7.1048,0,0
2.6693,0.04528,1.0051,1.1043,7.1779,0,0
2.6893,0.043953,1.006,1.1155,7.251,0,0
2.7094,0.042726,1.0076,1.1268,7.3241,0,0
2.7295,0.0415,1.0092,1.138,7.3972,0,0
2.7497,0.040274,1.0108,1.1493,7.4703,0,0
2.7688,0.039112,1.0116,1.1605,7.5434,0,0
2.7855,0.038109,1.0102,1.1718,7.6165,0,0
2.8023,0.037107,1.0089,1.183,7.6896,0,0
2.819,0.036104,1.0075,1.1943,7.7627,0,0
2.8355,0.035137,1.0064,1.2055,7.8358,0,0
2.8508,0.034358,1.0065,1.2168,7.9089,0,0
2.8662,0.033579,1.0066,1.228,7.982,0,0
2.8815,0.0328,1.0067,1.2392,8.0551,0,0
2.8968,0.032023,1.0068,1.2505,8.1282,0,0
2.9096,0.031436,1.0072,1.2617,8.2013,0,0
2.9225,0.03085,1.0076,1.273,8.2744,0,0
2.9354,0.030263,1.0079,1.2842,8.3475,0,0
2.9482,0.029676,1.0083,1.2955,8.4206,0,0
2.9619,0.029131,1.0092,1.3067,8.4937,0,0
2.9757,0.028592,1.0101,1.318,8.5668,0,0
2.9895,0.028053,1.0111,1.3292,8.6399,0,0
3.0033,0.027514,1.012,1.3405,8.713,0,0
3.0171,0.026975,1.013,1.3517,8.7861,0,0
3.0309,0.026436,1.0139,1.363,8.8592,0,0
3.0447,0.025897,1.0149,1.3742,8.9323,0,0
3.0586,0.025358,1.0158,1.3854,9.0054,0,0
3.0731,0.02484,1.0169,1.3967,9.0785,0,0
3.0885,0.024344,1.018,1.4079,9.1516,0,0
3.1038,0.023847,1.0191,1.4192,9.2247,0,0
3.1192,0.023351,1.0202,1.4304,9.2978,0,0
3.1345,0.022854,1.0212,1.4417,9.3709,0,0
3.1498,0.022358,1.0223,1.4529,9.444,0,0
3.1652,0.021861,1.0234,1.4642,9.5171,0,0
3.1805,0.021365,1.0245,1.4754,9.5902,0,0
3.1961,0.020868,1.0256,1.4867,9.6633,0,0
3.2133,0.020375,1.026,1.4979,9.7364,0,0
3.2306,0.019881,1.0265,1.5092,9.8095,0,0
3.2479,0.019388,1.027,1.5204,9.8826,0,0
3.2652,0.018894,1.0275,1.5316,9.9557,0,0
3.2837,0.018414,1.0278,1.5429,10.029,0,0
3.3024,0.017935,1.0281,1.5541,10.102,0,0
3.3211,0.017456,1.0283,1.5654,10.175,0,0
3.3398,0.016978,1.0286,1.5766,10.248,0,0
3.3594,0.01652,1.0292,1.5879,10.321,0,0
3.3794,0.016077,1.03,1.5991,10.394,0,0
3.3994,0.015633,1.0308,1.6104,10.467,0,0
3.4194,0.015189,1.0315,1.6216,10.54,0,0
3.4404,0.014741,1.0323,1.6329,10.614,0,0
3.4632,0.014283,1.0331,1.6441,10.687,0,0
3.4864,0.013824,1.0339,1.6554,10.76,0,0
3.5114,0.01336,1.0349,1.6666,10.833,0,0
3.5365,0.012898,1.0358,1.6778,10.906,0,0
3.5619,0.01246,1.0365,1.6891,10.979,0,0
3.5873,0.012023,1.0373,1.7003,11.052,0,0
3.6157,0.011572,1.0389,1.7116,11.125,0,0
3.647,0.011085,1.0396,1.7228,11.198,0,0
3.6828,0.010555,1.0407,1.7341,11.271,0,0
3.7276,0.0099217,1.0409,1.7453,11.345,0,0
3.7747,0.0092713,1.0379,1.7566,11.418,0,0
0.41061,0.1577,0.17711,1.7678,11.491,0,0
0.34768,0.15959,0.17352,1.7791,11.564,0,0
0.3092,0.16236,0.1735,1.7903,11.637,0,0
0.28558,0.16415,0.17373,1.8016,11.71,0,0
0.26889,0.16545,0.17398,1.8128,11.783,0,0
0.25734,0.16697,0.17484,1.824,11.856,0,0
0.24803,0.16781,0.17518,1.8353,11.929,0,0
0.23872,0.16865,0.17551,1.8465,12.002,0,0
0.22941,0.16949,0.17585,1.8578,12.076,0,0
0.2201,0.17033,0.17619,1.869,12.149,0,0
0.21085,0.17085,0.17626,1.8803,12.222,0,0
0.20161,0.17131,0.17628,1.8915,12.295,0,0
0.19238,0.17176,0.17629,1.9028,12.368,0,0
0.18314,0.17221,0.17631,1.914,12.441,0,0
0.17412,0.17253,0.17624,1.9253,12.514,0,0
0.16534,0.1727,0.17607,1.9365,12.587,0,0
0.15656,0.17287,0.17589,1.9478,12.66,0,0
0.14778,0.17303,0.17572,1.959,12.733,0,0
0.1393,0.17318,0.17555,1.9702,12.807,0,0
0.13303,0.1732,0.17538,1.9815,12.88,0,0
0.12676,0.17322,0.1752,1.9927,12.953,0,0
0.12049,0.17325,0.17503,2.004,13.026,0,0
0.11422,0.17327,0.17486,2.0152,13.099,0,0
0.11099,0.17341,0.17491,2.0265,13.172,0,0
0.10882,0.17359,0.17504,2.0377,13.245,0,0
0.10666,0.17377,0.17516,2.049,13.318,0,0
0.10449,0.17396,0.17529,2.0602,13.391,0,0
0.10305,0.1743,0.1756,2.0715,13.464,0,0
0.10288,0.17495,0.17625,2.0827,13.538,0,0
0.10272,0.17559,0.17689,2.094,13.611,0,0
0.10256,0.17623,0.17753,2.1052,13.684,0,0
0.1024,0.17687,0.17818,2.1164,13.757,0,0
0.10335,0.17763,0.17897,2.1277,13.83,0,0
0.10437,0.1784,0.17977,2.1389,13.903,0,0
0.10538,0.17917,0.18057,2.1502,13.976,0,0
0.1064,0.17994,0.18137,2.1614,14.049,0,0
0.1081,0.18088,0.18237,2.1727,14.122,0,0
0.11039,0.18198,0.18355,2.1839,14.195,0,0
0.11268,0.18307,0.18472,2.1952,14.269,0,0
0.11497,0.18417,0.1859,2.2064,14.342,0,0
0.11726,0.18527,0.18708,2.2177,14.415,0,0
0.11955,0.18636,0.18825,2.2289,14.488,0,0
0.12185,0.18746,0.18943,2.2402,14.561,0,0
0.12414,0.18855,0.19061,2.2514,14.634,0,0
0.12643,0.18965,0.19178,2.2626,14.707,0,0
0.13017,0.19043,0.19272,2.2739,14.78,0,0
0.13471,0.19104,0.19352,2.2851,14.853,0,0
0.13926,0.19165,0.19432,2.2964,14.926,0,0
0.1438,0.19225,0.19512,2.3076,15,0,0
0.14834,0.19286,0.19592,2.3189,15.073,0,0
0.15289,0.19347,0.19672,2.3301,15.146,0,0
0.15743,0.19407,0.19752,2.3414,15.219,0,0
0.16197,0.19468,0.19831,2.3526,15.292,0,0
0.16652,0.19529,0.19911,2.3639,15.365,0,0
0.17311,0.19548,0.19965,2.3751,15.438,0,0
0.1806,0.19548,0.20008,2.3864,15.511,0,0
0.1881,0.19548,0.2005,2.3976,15.584,0,0
